"un","msup","dgnp","dem","ex"
3.97,3.92,0.168,16.364,5.9
5.419,4.08,0.166,16.619,6.3
3.045,4.43,0.161,16.93,6.9
11.684,4.26,0.163,17.178,6.3
18.415,4.28,0.155,17.364,6.4
13.703,4.43,0.153,17.449,6
14.445,4.35,0.15,17.656,7.1
14.543,4.64,0.15,18.097,7.6
12.354,5.26,0.154,19.412,8.4
6.536,6.09,0.159,19.423,8.5
5.004,6.6,0.165,19.412,9.3
4.133,7.48,0.165,19.682,9.5
3.668,8.17,0.159,20.045,8.7
3.922,8.68,0.171,20.982,9.2
5.378,9.24,0.173,20.967,9.1
4.276,10.24,0.177,21.797,9.9
1.728,11.08,0.181,22.016,10.5
2.764,11.6,0.188,23.342,10.8
7.962,11.44,0.187,24.99,10.1
5.106,12.68,0.185,23.775,10.2
5.857,13.34,0.191,24.297,10.5
6.719,14.12,0.187,26.845,11.8
4.637,15.13,0.196,26.853,12.7
4.321,15.37,0.195,26.438,13.1
7.919,16.39,0.197,27.819,11.4
8.528,17.59,0.207,28.434,17
5.1,20.85,0.233,27.39,22.7
4.617,24.37,0.287,35.708,21.7
1.372,26.73,0.314,71.005,20.4
1.375,31.01,0.37,45.701,25.4
5.157,34.8,0.429,30.438,21.1
11.715,32.85,0.35,34.031,14.2
6.728,33.72,0.324,33.416,13.8
2.415,36.6,0.337,33.36,14.7
4.951,38.58,0.332,35.408,15.9
3.217,42.05,0.339,37.082,16.7
1.756,43.68,0.334,37.116,17
3.275,44.73,0.325,39.083,17.6
4.208,46.42,0.329,40.242,18.4
3.246,46.6,0.328,41,21.372
8.903,45.73,0.316,44.8,17.004
15.653,42.69,0.289,46.3,12.465
22.981,36.05,0.257,44.3,9.738
20.901,32.22,0.251,42.9,9.553
16.197,34.36,0.273,48.4,10.985
14.389,39.07,0.279,49.6,11.834
9.97,43.48,0.28,57.9,12.506
9.182,45.68,0.293,55.8,16.039
12.468,45.81,0.286,60.7,15.359
11.273,49.27,0.284,63,16.184
9.508,55.2,0.291,65.3,18.581
5.994,62.81,0.312,97.8,19.536
3.095,71.16,0.343,191.6,14.565
1.773,89.91,0.361,271.3,12.73
1.226,106.82,0.37,300.4,14.862
1.931,126.63,0.379,265.4,19.524
3.946,138.73,0.439,93.1,34.425
3.894,146,0.496,75.7,40.755
3.756,148.11,0.53,84.7,33.031
5.934,147.46,0.525,96.8,31.06
5.286,150.81,0.536,98.1,26.88
3.314,156.45,0.571,133.7,34.505
3.032,164.92,0.579,159.8,32.975
2.91,171.19,0.588,170.1,30.602
5.551,177.16,0.595,156,31.41
4.386,183.69,0.608,152.3,34.519
4.132,186.87,0.628,153.5,39.815
4.27,191.82,0.649,161.2,43.276
6.805,201.12,0.66,169.9,36.642
5.469,210.5,0.676,170.6,36.684
